"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Sep 23 18:32:13 IST 2020","Wed Sep 23 18:32:19 IST 2020","5582","","Test Space X Api","","Scenario is to test Space X Api","","Scenario is to test Space X Api",""
"passed","Wed Sep 23 18:33:09 IST 2020","Wed Sep 23 18:34:07 IST 2020","58628","","Test Blaze Demo","","Check user able to book flight","","Check user able to book flight",""
